Predicted,Expected
63.643,63.698
63.675,62.678
62.682,63.145
63.234,61.678
61.622,61.173
61.291,62.581
62.658,64.650
64.669,64.504
64.424,65.602
65.671,65.582
65.509,64.077
64.068,64.553
64.668,63.786
63.745,64.174
64.288,64.320
64.317,63.854
63.874,63.523
63.566,64.475
64.542,65.107
65.099,65.680
65.702,64.786
64.745,66.224
66.340,67.496
67.456,68.798
68.815,68.487
68.421,68.555
68.595,69.545
69.577,69.225
69.189,69.613
69.682,70.313
70.322,70.837
70.848,70.857
70.858,70.857
70.880,70.021
70.018,71.906
72.040,72.702
72.635,73.547
73.585,71.129
71.020,70.060
70.198,71.731
71.845,72.518
72.494,72.197
72.196,71.420
71.430,71.197
71.257,72.314
72.391,72.560
72.536,73.760
73.821,74.500
74.466,74.750
74.750,75.140
75.158,76.460
76.502,77.300
77.278,77.870
